filename,l_acc,nl_acc
10L_90NL_1_1,74.16,77.85
10L_90NL_1_4,52.34,76.27
10L_90NL_2_1,67.4,81.75
10L_90NL_2_4,71.45,77.73
10L_90NL_3_1,77.62,70.6
10L_90NL_3_4,68.01,72.68
50L_50NL_1_1,81.0,62.26
50L_50NL_1_2,76.85,58.48
50L_50NL_1_3,80.96,61.35
50L_50NL_1_4,87.88,65.01
50L_50NL_2_1,85.59,67.25
50L_50NL_2_4,96.37,53.77
50L_50NL_3_1,77.57,61.27
50L_50NL_3_4,81.27,76.67
90L_10NL_1_2,88.37,28.29
90L_10NL_1_3,88.08,38.98
90L_10NL_1_4,84.82,38.44
90L_10NL_2_1,89.26,25.48
90L_10NL_2_2,89.32,31.39
90L_10NL_2_3,91.38,23.72
90L_10NL_2_4,89.78,26.45
90L_10NL_3_1,89.0,2.98
90L_10NL_3_2,87.77,12.33
90L_10NL_3_3,86.52,3.4
90L_10NL_3_4,92.69,2.35
