form,lemma,lemma_sf
apaɾˈesko,apaɾesˈeɾ,s
deskompˈonɡan,deskomponˈeɾ,n
enbexesˈemos,enbexesˈeɾ,s
establˈesen,establesˈeɾ,s
antedˈiɡo,antedesˈiɾ,s
astɾˈinxas,astɾinçˈiɾ,nç
ɾetoɾsˈamos,ɾetoɾsˈeɾ,ɾs
enmoˈeska,enmoesˈeɾ,s
enkaɾˈeses,enkaɾesˈeɾ,s
empodɾesˈejs,empodɾesˈeɾ,s
ɾeblandˈesko,ɾeblandesˈeɾ,s
kompaɾesˈejs,kompaɾesˈeɾ,s
embeʃeskˈamos,embeʃesˈeɾ,s
ɾetoɾsˈejs,ɾetoɾsˈeɾ,ɾs
pɾebalˈesko,pɾebalesˈeɾ,s
enoɾɡuʃesˈemos,enoɾɡuʃesˈeɾ,s
apaɾˈeska,apaɾesˈeɾ,s
anoʧˈeses,anoʧesˈeɾ,s
antedˈiɡas,antedesˈiɾ,s
ɾebˈenɡan,ɾebenˈiɾ,n
enɾoxˈesko,enɾoxesˈeɾ,s
enmoˈeskas,enmoesˈeɾ,s
antedesˈimos,antedesˈiɾ,s
ɾeapaɾˈesko,ɾeapaɾesˈeɾ,s
enflakˈese,enflakesˈeɾ,s
embeʃeskˈajs,embeʃesˈeɾ,s
enbexeskˈamos,enbexesˈeɾ,s
establesˈejs,establesˈeɾ,s
anoʧeskˈamos,anoʧesˈeɾ,s
enflakeskˈajs,enflakesˈeɾ,s
tɾˈajɡan,tɾaˈeɾ,
antedˈiɡa,antedesˈiɾ,s
kompaɾesˈemos,kompaɾesˈeɾ,s
enoɾɡuʃˈeses,enoɾɡuʃesˈeɾ,s
balbˈuses,balbusˈiɾ,s
kompaɾˈesko,kompaɾesˈeɾ,s
fɾançˈimos,fɾançˈiɾ,nç
desˈaɡan,desasˈeɾ,s
apaɾˈese,apaɾesˈeɾ,s
distɾˈajɡa,distɾaˈeɾ,
enteɾnˈese,enteɾnesˈeɾ,s
tɾˈaen,tɾaˈeɾ,
aborˈeses,aboresˈeɾ,s
depˈone,deponˈeɾ,n
tɾajɡˈajs,tɾaˈeɾ,
antedˈises,antedesˈiɾ,s
kompaɾˈeskan,kompaɾesˈeɾ,s
establˈeska,establesˈeɾ,s
fulçˈis,fulçˈiɾ,lç
enbexesˈejs,enbexesˈeɾ,s
ɾeapaɾˈeses,ɾeapaɾesˈeɾ,s
fɾanxˈajs,fɾançˈiɾ,nç
deskompˈonɡo,deskomponˈeɾ,n
balbuskˈajs,balbusˈiɾ,s
desˈaɡo,desasˈeɾ,s
deskompˈonɡas,deskomponˈeɾ,n
desˈases,desasˈeɾ,s
ɾebenɡˈamos,ɾebenˈiɾ,n
enkaɾˈesko,enkaɾesˈeɾ,s
enflakesˈemos,enflakesˈeɾ,s
enteɾnˈeskas,enteɾnesˈeɾ,s
pɾebalˈeska,pɾebalesˈeɾ,s
pɾodˈusko,pɾodusˈiɾ,s
enmoˈesen,enmoesˈeɾ,s
fɾˈanxa,fɾançˈiɾ,nç
enoɾɡuʃˈeskas,enoɾɡuʃesˈeɾ,s
distɾajɡˈamos,distɾaˈeɾ,
ɾetoɾsˈajs,ɾetoɾsˈeɾ,ɾs
