idx,tgt,lemma,lemma_sf,tgt_sf
0,tɾadˈuskan,tɾadusˈiɾ,s,sk
1,sostenɡˈamos,sostenˈeɾ,n,nɡ
2,manutjˈene,manutenˈeɾ,n,n
3,ɾejmponˈemos,ɾejmponˈeɾ,n,n
4,astɾˈinxo,astɾinçˈiɾ,nç,nx
5,enkaʃeskˈajs,enkaʃesˈeɾ,s,sk
6,inteɾpˈones,inteɾponˈeɾ,n,n
7,estˈaɾsa,estaɾsˈiɾ,ɾs,ɾs
8,korˈixa,koreçˈiɾ,ç,x
9,adoɾmˈeska,adoɾmesˈeɾ,s,sk
10,inteɾpˈonɡa,inteɾponˈeɾ,n,nɡ
11,adoɾmˈesko,adoɾmesˈeɾ,s,sk
12,abastˈeses,abastesˈeɾ,s,s
13,estaɾsˈamos,estaɾsˈiɾ,ɾs,ɾs
14,pɾotˈexa,pɾoteçˈeɾ,ç,x
15,abastˈesen,abastesˈeɾ,s,s
16,korˈixas,koreçˈiɾ,ç,x
17,bendˈise,bendesˈiɾ,s,s
18,bendˈise,bendesˈiɾ,s,s
19,estˈaɾses,estaɾsˈiɾ,ɾs,ɾs
20,ɾobusteskˈamos,ɾobustesˈeɾ,s,sk
21,korˈiçen,koreçˈiɾ,ç,ç
22,bˈalɡa,balˈeɾ,l,lɡ
23,tɾadˈuska,tɾadusˈiɾ,s,sk
24,tɾadusˈis,tɾadusˈiɾ,s,s
25,konbensˈemos,konbensˈeɾ,ns,ns
26,sostˈenɡa,sostenˈeɾ,n,nɡ
27,inteɾpˈonɡa,inteɾponˈeɾ,n,nɡ
28,manutˈenɡas,manutenˈeɾ,n,nɡ
29,bˈalɡa,balˈeɾ,l,lɡ
30,astɾˈinxa,astɾinçˈiɾ,nç,nx
31,inteɾpˈonɡa,inteɾponˈeɾ,n,nɡ
32,enkoxˈajs,enkoçˈeɾ,ç,x
33,adˈusen,adusˈiɾ,s,s
34,bˈalɡo,balˈeɾ,l,lɡ
35,konbˈense,konbensˈeɾ,ns,ns
36,tɾadˈuska,tɾadusˈiɾ,s,sk
37,balˈemos,balˈeɾ,l,l
38,inteɾpˈonɡa,inteɾponˈeɾ,n,nɡ
39,enkaʃesˈejs,enkaʃesˈeɾ,s,s
40,estaɾsˈis,estaɾsˈiɾ,ɾs,ɾs
41,entenebɾˈesen,entenebɾesˈeɾ,s,s
42,estˈaɾses,estaɾsˈiɾ,ɾs,ɾs
43,manutˈenɡan,manutenˈeɾ,n,nɡ
44,inteɾponɡˈajs,inteɾponˈeɾ,n,nɡ
45,adoɾmˈeska,adoɾmesˈeɾ,s,sk
46,enkoxˈajs,enkoçˈeɾ,ç,x
47,estˈaɾso,estaɾsˈiɾ,ɾs,ɾs
48,ɾejmponɡˈajs,ɾejmponˈeɾ,n,nɡ
49,sostˈenɡa,sostenˈeɾ,n,nɡ
