num_correct_predictions,num_incorrect_predictions,per_correct_predictions,num_attested_triples,num_unattested_triples,seen_triples_correct_predictions,seen_triples_wrong_predictions,unseen_triples_correct_predictions,unseen_triples_wrong_predictions
2957,1663,0.64,3960,660,2453,1507,504,156
365,4255,0.08,3960,660,293,3667,72,588
387,4233,0.08,3960,660,355,3605,32,628
3686,934,0.8,3960,660,3301,659,385,275
2594,2026,0.56,4095,525,2583,1512,11,514
427,4193,0.09,4095,525,402,3693,25,500
504,4116,0.11,4095,525,484,3611,20,505
2579,2041,0.56,4095,525,2561,1534,18,507
3074,1546,0.67,4620,0,3074,1546,0,0
384,4236,0.08,4620,0,384,4236,0,0
366,4254,0.08,4620,0,366,4254,0,0
2643,1977,0.57,4620,0,2643,1977,0,0
17552,4228,0.81,21780,0,17552,4228,0,0
6494,15286,0.3,21780,0,6494,15286,0,0
6885,14895,0.32,21780,0,6885,14895,0,0
20570,1210,0.94,21780,0,20570,1210,0,0
19968,1812,0.92,21780,0,19968,1812,0,0
11188,10592,0.51,21780,0,11188,10592,0,0
10628,11152,0.49,21780,0,10628,11152,0,0
19248,2532,0.88,21780,0,19248,2532,0,0
17837,3943,0.82,21120,660,17400,3720,437,223
18898,2882,0.87,21120,660,18437,2683,461,199
377,21403,0.02,21120,660,280,20840,97,563
19611,2169,0.9,21120,660,19242,1878,369,291
33838,5102,0.87,38940,0,33838,5102,0,0
33016,5924,0.85,38940,0,33016,5924,0,0
35434,3506,0.91,38940,0,35434,3506,0,0
34440,4500,0.88,38940,0,34440,4500,0,0
23674,15266,0.61,38940,0,23674,15266,0,0
35664,3276,0.92,38940,0,35664,3276,0,0
32747,6193,0.84,38940,0,32747,6193,0,0
20020,18920,0.51,38940,0,20020,18920,0,0
31382,7173,0.81,37895,660,31023,6872,359,301
19930,18625,0.52,37895,660,19708,18187,222,438
34309,4246,0.89,37895,660,34046,3849,263,397
23817,14738,0.62,37895,660,23529,14366,288,372
