condition,run,model,prediction_status,frequency,triples,prediction,test
10L_90NL,1,10L_90NL_1_1,1,210,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,210,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,210,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,210,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,210,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,210,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,210,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,210,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,210,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,210,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,210,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,210,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,210,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,210,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,210,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,336,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,0,140,"('n', 'n', 'nɡ')",supeɾbenisejs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,0,140,"('n', 'n', 'nɡ')",supeɾbenisejs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,0,140,"('n', 'n', 'nɡ')",supeɾbenisejs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,0,140,"('n', 'n', 'nɡ')",supeɾbenisejs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,0,140,"('n', 'n', 'nɡ')",supeɾbenisejs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,0,140,"('n', 'n', 'nɡ')",supeɾbenisejs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,0,140,"('n', 'n', 'nɡ')",supeɾbenisejs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,0,140,"('n', 'n', 'nɡ')",supeɾbjejs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,0,140,"('n', 'n', 'nɡ')",supeɾbjejs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,0,140,"('n', 'n', 'nɡ')",supeɾbjejs,supeɾbenɡajs
10L_90NL,1,10L_90NL_1_1,1,210,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡamos,supeɾbenɡamos
10L_90NL,1,10L_90NL_1_1,1,210,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡamos,supeɾbenɡamos
