condition,run,model,prediction_status,frequency,triples,prediction,test
90L_10NL,1,90L_10NL_1_2,1,180,"('n', 'n', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,180,"('n', 'n', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,180,"('n', 'n', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,180,"('n', 'n', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,180,"('n', 'n', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,180,"('n', 'n', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,420,"('n', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,630,"('nɡ', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,630,"('nɡ', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,630,"('nɡ', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,630,"('nɡ', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,630,"('nɡ', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,630,"('nɡ', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,630,"('nɡ', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,630,"('nɡ', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,630,"('nɡ', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,630,"('nɡ', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,630,"('nɡ', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,630,"('nɡ', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,630,"('nɡ', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,630,"('nɡ', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,630,"('nɡ', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,630,"('nɡ', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,630,"('nɡ', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,630,"('nɡ', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,630,"('nɡ', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,630,"('nɡ', 'nɡ', 'n')",indisponejs,indisponejs
90L_10NL,1,90L_10NL_1_2,1,630,"('nɡ', 'nɡ', 'n')",indisponejs,indisponejs
