condition,run,model,prediction_status,frequency,triples,prediction,test
90L_10NL,3,90L_10NL_3_1,1,238,"('n', 'n', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,238,"('n', 'n', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,238,"('n', 'n', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,238,"('n', 'n', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,238,"('n', 'n', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,238,"('n', 'n', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,895,"('nɡ', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,895,"('nɡ', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,895,"('nɡ', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,895,"('nɡ', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,895,"('nɡ', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,895,"('nɡ', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,895,"('nɡ', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,895,"('nɡ', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,895,"('nɡ', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,895,"('nɡ', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,895,"('nɡ', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,895,"('nɡ', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,895,"('nɡ', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,895,"('nɡ', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,895,"('nɡ', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,895,"('nɡ', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,895,"('nɡ', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,895,"('nɡ', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,895,"('nɡ', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,895,"('nɡ', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,895,"('nɡ', 'nɡ', 'n')",tɾasponejs,tɾasponejs
90L_10NL,3,90L_10NL_3_1,1,238,"('n', 'n', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,238,"('n', 'n', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,238,"('n', 'n', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,238,"('n', 'n', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,238,"('n', 'n', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,238,"('n', 'n', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
90L_10NL,3,90L_10NL_3_1,1,748,"('n', 'nɡ', 'n')",tɾasponemos,tɾasponemos
