condition,run,model,prediction_status,frequency,triples,prediction,test,memgen
10L_90NL,1,10L_90NL_1_1,1,107,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,107,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,107,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,107,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,107,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,107,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,107,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,107,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,107,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,107,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,107,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,107,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,107,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,107,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,107,"('nɡ', 'nɡ', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,1,66,"('nɡ', 'n', 'nɡ')",supeɾbenɡajs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,0,73,"('n', 'n', 'nɡ')",supeɾbenisejs,supeɾbenɡajs,mem
10L_90NL,1,10L_90NL_1_1,0,73,"('n', 'n', 'nɡ')",supeɾbenisejs,supeɾbenɡajs,mem
