condition,run,model,num_incorrect_predictions,num_of_triples_seen_in_training,num_of_triples_unseen_in_training
90L_10NL,2,90L_10NL_2_3,6193,6193,0
90L_10NL,2,90L_10NL_2_2,3276,3276,0
90L_10NL,3,90L_10NL_3_4,14016,14016,0
90L_10NL,1,90L_10NL_1_1,5102,5102,0
90L_10NL,1,90L_10NL_1_2,5924,5924,0
90L_10NL,1,90L_10NL_1_4,4500,4500,0
90L_10NL,3,90L_10NL_3_2,18034,18034,0
90L_10NL,2,90L_10NL_2_4,18920,18920,0
90L_10NL,3,90L_10NL_3_1,6218,6218,0
90L_10NL,2,90L_10NL_2_1,15266,15266,0
90L_10NL,1,90L_10NL_1_3,3506,3506,0
90L_10NL,3,90L_10NL_3_3,3511,3511,0
