condition,run,model,num_incorrect_predictions,num_of_triples_seen_in_training,num_of_triples_unseen_in_training
10L_90NL,1,10L_90NL_1_1,1507,1507,0
10L_90NL,2,10L_90NL_2_2,3009,3009,0
10L_90NL,3,10L_90NL_3_2,3685,3685,0
10L_90NL,3,10L_90NL_3_4,1510,1510,0
10L_90NL,3,10L_90NL_3_3,3688,3688,0
10L_90NL,1,10L_90NL_1_4,659,659,0
10L_90NL,2,10L_90NL_2_1,870,870,0
10L_90NL,3,10L_90NL_3_1,1387,1387,0
10L_90NL,1,10L_90NL_1_3,3605,3605,0
10L_90NL,2,10L_90NL_2_3,2927,2927,0
10L_90NL,2,10L_90NL_2_4,930,930,0
10L_90NL,1,10L_90NL_1_2,3667,3667,0
