condition,run,model,triples_seen_in_training
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')"
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')"
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')"
50L_50NL,2,50L_50NL_2_4,"('s', 's', 'ɡ')"
50L_50NL,2,50L_50NL_2_4,"('s', 's', 'ɡ')"
50L_50NL,2,50L_50NL_2_4,"('s', 's', 'ɡ')"
50L_50NL,2,50L_50NL_2_4,"('s', 's', 'ɡ')"
50L_50NL,2,50L_50NL_2_4,"('s', 's', 'ɡ')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
50L_50NL,2,50L_50NL_2_4,"('ns', 'ns', 'ns')"
