condition,run,model,num_incorrect_predictions,num_of_triples_seen_in_training,num_of_triples_unseen_in_training
10L_90NL,1,10L_90NL_1_1,156,0,156
10L_90NL,1,10L_90NL_1_2,588,0,588
10L_90NL,1,10L_90NL_1_3,628,0,628
10L_90NL,1,10L_90NL_1_4,275,0,275
10L_90NL,2,10L_90NL_2_1,1156,642,514
10L_90NL,2,10L_90NL_2_2,1184,684,500
10L_90NL,2,10L_90NL_2_3,1189,684,505
10L_90NL,2,10L_90NL_2_4,1111,604,507
10L_90NL,3,10L_90NL_3_1,159,159,0
10L_90NL,3,10L_90NL_3_2,551,551,0
10L_90NL,3,10L_90NL_3_3,566,566,0
10L_90NL,3,10L_90NL_3_4,467,467,0
