condition,run,model,prediction_status,frequency,triples,prediction,test
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,0,660,"('ns', 'ns', 'ns')",unsjan,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,0,660,"('ns', 'ns', 'ns')",unsjan,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unsen,unsen
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,0,660,"('ns', 'ns', 'ns')",unsjas,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,0,660,"('ns', 'ns', 'ns')",unsjas,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unses,unses
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unse,unse
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unse,unse
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unse,unse
50L_50NL,3,50L_50NL_3_1,0,660,"('ns', 'ns', 'ns')",unsja,unse
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unse,unse
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unse,unse
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unse,unse
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unse,unse
50L_50NL,3,50L_50NL_3_1,1,660,"('ns', 'ns', 'ns')",unse,unse
