condition,run,model,prediction_status,frequency,triples,prediction,test,memgen
90L_10NL,2,90L_10NL_2_3,0,0,0,0,0,gen
90L_10NL,2,90L_10NL_2_2,0,0,0,0,0,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,0,660,"('k', 'k', 'k')",xaksajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,0,660,"('k', 'k', 'k')",xaksajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,0,660,"('k', 'k', 'k')",xakoxajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,0,660,"('k', 'k', 'k')",xakoxajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,0,660,"('k', 'k', 'k')",xakoxajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,0,660,"('k', 'k', 'k')",xakejs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,0,660,"('k', 'k', 'k')",xakejs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,1,660,"('k', 'k', 'k')",xakajs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,0,660,"('k', 'k', 'k')",xakejs,xakajs,gen
90L_10NL,3,90L_10NL_3_4,0,660,"('k', 'k', 'k')",xaksajs,xakajs,gen
