condition,run,model,prediction_status,frequency,triples,prediction,test,memgen
50L_50NL,2,50L_50NL_2_4,0,0,0,0,0,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsian,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsjan,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsiman,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsiman,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsian,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsiman,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsiman,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsian,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsian,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsiman,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsiman,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsian,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsiman,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsis,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsiman,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsaman,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsan,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsan,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsan,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsajs,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsan,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsan,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsan,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsan,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsan,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsan,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unse,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsan,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsan,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsen,unsen,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsis,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsjajs,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsimos,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsimas,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsimas,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsimas,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsimas,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsis,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsis,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsimos,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsis,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsis,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsis,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsis,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsis,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsamos,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsajs,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsajs,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsajs,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsajs,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsamos,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsajs,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsajs,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsamos,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsamos,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsamos,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unse,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unse,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unses,unses,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsis,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsima,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsima,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsima,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsima,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsima,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsima,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsia,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsise,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsimos,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsisa,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsisa,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsis,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsis,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsis,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsamos,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsajs,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsajs,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsajs,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsajs,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsajs,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsajs,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsajs,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsajs,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsajs,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsa,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unse,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unemos,unse,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unsemos,unsimos,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unes,unsimos,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unimos,unsimos,gen
50L_50NL,3,50L_50NL_3_3,0,660,"('ns', 'ns', 'ns')",unemos,unsimos,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsimos,unsimos,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsimos,unsimos,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsimos,unsimos,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsimos,unsimos,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsimos,unsimos,gen
50L_50NL,3,50L_50NL_3_3,1,660,"('ns', 'ns', 'ns')",unsimos,unsimos,gen
