condition,run,model,prediction_status,frequency,triples,prediction,test
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidejs,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidejs,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidejs,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidejs,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidejs,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidejs,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidejs,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidis,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidis,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidejs,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidamos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidamos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insido,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidamos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insido,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidamos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insimos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",inside,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidamos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insimos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",inside,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidamos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insimos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemamos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemamos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemamos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidajs
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidamos
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insido,insidamos
50L_50NL,1,50L_50NL_1_2,1,660,"('d', 'd', 'd')",insidamos,insidamos
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidemos,insidamos
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insido,insidamos
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insidis,insidamos
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insido,insidamos
50L_50NL,1,50L_50NL_1_2,1,660,"('d', 'd', 'd')",insidamos,insidamos
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insiden,insidamos
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insiden,insidamos
50L_50NL,1,50L_50NL_1_2,0,660,"('d', 'd', 'd')",insiden,insidamos
