condition,run,model,num_incorrect_predictions,num_of_triples_seen_in_training,num_of_triples_unseen_in_training
10L_90NL,1,10L_90NL_1_1,11903,11903,0
10L_90NL,1,10L_90NL_1_2,33090,33090,0
10L_90NL,1,10L_90NL_1_3,32601,32601,0
10L_90NL,1,10L_90NL_1_4,6951,6951,0
10L_90NL,2,10L_90NL_2_1,10452,10452,0
10L_90NL,2,10L_90NL_2_2,33806,33806,0
10L_90NL,2,10L_90NL_2_3,30510,30510,0
10L_90NL,2,10L_90NL_2_4,9016,9016,0
10L_90NL,3,10L_90NL_3_1,12341,12341,0
10L_90NL,3,10L_90NL_3_2,27190,27190,0
10L_90NL,3,10L_90NL_3_3,26337,26337,0
10L_90NL,3,10L_90NL_3_4,28182,28182,0
