condition,run,model,triples_seen_in_training,frequency
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
50L_50NL,1,50L_50NL_1_3,"('d', 'd', 'd')",651
