condition,run,model,num_incorrect_predictions,num_of_triples_seen_in_training,num_of_triples_unseen_in_training
50L_50NL,1,50L_50NL_1_1,2325,0,2325
50L_50NL,1,50L_50NL_1_2,2635,0,2635
50L_50NL,1,50L_50NL_1_3,2629,0,2629
50L_50NL,1,50L_50NL_1_4,1955,0,1955
50L_50NL,2,50L_50NL_2_1,2163,0,2163
50L_50NL,2,50L_50NL_2_2,3081,0,3081
50L_50NL,2,50L_50NL_2_3,2994,0,2994
50L_50NL,2,50L_50NL_2_4,2206,0,2206
50L_50NL,3,50L_50NL_3_1,1510,616,894
50L_50NL,3,50L_50NL_3_2,2074,604,1470
50L_50NL,3,50L_50NL_3_3,2566,594,1972
50L_50NL,3,50L_50NL_3_4,1423,578,845
