condition,run,model,prediction_status,frequency,triples,prediction,test
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejnteɾejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejnteɾejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejnteɾejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejnteɾejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejnteɾejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejnteɾejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntesejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejnteɾejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejnteɾejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejnteɾejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejnteɾejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenejs,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejnteɾemos,ɾejnteɡɾajs
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejnteɾemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejnteɾemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejnteɾemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejnteɾemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejnteɾemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejnteɾemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejnteɾemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
90L_10NL,1,90L_10NL_1_2,0,660,"('ɡɾ', 'ɡɾ', 'ɡɾ')",ɾejntenemos,ɾejnteɡɾamos
