condition,run,model,prediction_status,frequency,triples,prediction,test,memgen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾajs,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erubɾmamos,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erubɾmamos,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erubɾmamos,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erubɾmamos,erumbɾajs,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,1,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbɾamos,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbaɾan,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbeɾan,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbaɾan,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbeɾan,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbeɾan,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbeɾan,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbeɾan,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbeɾan,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbeɾan,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbeɾan,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbaɾan,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbaɾan,erumbɾamos,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbeɾan,erumbɾan,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbeɾan,erumbɾan,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbeɾan,erumbɾan,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbeɾan,erumbɾan,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbeɾan,erumbɾan,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbeɾan,erumbɾan,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbeɾan,erumbɾan,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",eruman,erumbɾan,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",eruman,erumbɾan,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",erumbeɾan,erumbɾan,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",eruman,erumbɾan,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",eruman,erumbɾan,gen
90L_10NL,2,90L_10NL_2_3,0,660,"('mbɾ', 'mbɾ', 'mbɾ')",eruman,erumbɾan,gen
