total_count,per_compute_src1,per_compute_src2
38280,0.45,0.45
total_count,per_compute_src1,per_compute_src2
38280,0.44,0.44
total_count,per_compute_src1,per_compute_src2
38280,0.4,0.4
total_count,per_compute_src1,per_compute_src2
38280,0.43,0.43
total_count,per_compute_src1,per_compute_src2
38280,0.46,0.46
total_count,per_compute_src1,per_compute_src2
38280,0.44,0.44
total_count,per_compute_src1,per_compute_src2
38280,0.4,0.4
total_count,per_compute_src1,per_compute_src2
38280,0.43,0.43
total_count,per_compute_src1,per_compute_src2
38249,0.46,0.46
total_count,per_compute_src1,per_compute_src2
38254,0.43,0.43
total_count,per_compute_src1,per_compute_src2
38256,0.42,0.42
total_count,per_compute_src1,per_compute_src2
38251,0.42,0.42
