filename,l_acc,nl_acc
10L_90NL_1_1,46.95,70.33
10L_90NL_1_2,1.95,30.43
10L_90NL_1_3,0.69,24.72
10L_90NL_1_4,61.47,74.06
10L_90NL_2_1,67.49,78.35
10L_90NL_2_2,5.78,29.6
10L_90NL_2_3,6.8,33.79
10L_90NL_2_4,66.39,81.8
10L_90NL_3_1,79.7,81.27
10L_90NL_3_2,2.55,28.78
10L_90NL_3_3,3.07,25.9
10L_90NL_3_4,75.48,81.45
50L_50NL_1_1,78.75,66.12
50L_50NL_1_2,88.65,68.22
50L_50NL_1_3,86.16,61.24
50L_50NL_1_4,83.72,63.87
50L_50NL_2_1,87.42,75.15
50L_50NL_2_2,89.45,50.36
50L_50NL_2_3,89.07,54.26
50L_50NL_2_4,93.87,43.49
50L_50NL_3_1,84.63,75.78
50L_50NL_3_2,22.92,21.22
50L_50NL_3_3,22.74,19.27
50L_50NL_3_4,81.38,58.05
90L_10NL_1_1,86.46,29.63
90L_10NL_1_2,89.04,30.95
90L_10NL_1_3,87.57,25.8
90L_10NL_1_4,88.29,42.84
90L_10NL_2_1,88.22,28.25
90L_10NL_2_2,88.77,31.47
90L_10NL_2_3,86.54,20.61
90L_10NL_2_4,93.48,18.53
90L_10NL_3_1,90.14,1.66
90L_10NL_3_2,82.65,7.96
90L_10NL_3_3,86.65,10.38
90L_10NL_3_4,84.57,23.1
