src1_sf,src2_sf,tgt_sf
s,s,sk
s,sk,sk
s,sk,sk
nx,nx,nç
sk,sk,s
s,s,s
nɡ,nɡ,n
s,sk,sk
s,sk,sk
sk,sk,sk
sk,sk,s
ɾs,ɾs,ɾs
sk,sk,sk
s,sk,sk
nɡ,n,n
s,sk,sk
nɡ,nɡ,n
s,sk,sk
nx,nx,nx
s,sk,s
s,sk,s
sk,sk,sk
nx,nx,nç
s,sk,s
s,sk,s
sk,sk,s
jɡ,jɡ,jɡ
ɾs,ɾs,ɾs
s,sk,sk
sk,sk,sk
l,lɡ,lɡ
s,sk,s
sk,sk,sk
nç,nç,nx
s,sk,sk
sk,sk,sk
s,s,s
lç,lx,lx
s,sk,sk
s,ɡ,ɡ
,,jɡ
ɾx,ɾx,ɾx
s,s,s
,jɡ,
nx,nx,nx
ç,x,x
s,sk,sk
s,s,sk
ç,x,x
sk,sk,s
ɾx,ɾx,ɾx
ɾs,ɾs,ɾs
s,sk,sk
nɡ,n,nɡ
ç,x,x
x,x,ç
nɡ,n,nɡ
s,ɡ,s
sk,sk,s
sk,sk,sk
sk,sk,s
s,ɡ,ɡ
s,s,s
s,sk,s
s,sk,sk
s,sk,sk
n,nɡ,nɡ
s,sk,s
ɾs,ɾs,ɾs
s,sk,s
ɾs,ɾs,ɾs
ns,ns,ns
ɡ,ɡ,ɡ
sk,sk,s
ɾs,ɾs,ɾs
n,n,nɡ
ç,ç,x
s,s,sk
s,sk,sk
s,sk,sk
sk,sk,s
sk,sk,sk
nç,nx,nx
n,n,nɡ
s,s,sk
nɡ,nɡ,nɡ
x,x,ç
ç,x,ç
n,nɡ,nɡ
ɾs,ɾs,ɾs
b,p,b
ɾs,ɾs,ɾs
ɡ,ɡ,s
x,x,x
s,sk,sk
s,sk,s
nk,nk,nk
s,ɡ,ɡ
nɡ,nɡ,nɡ
s,sk,s
ɾs,ɾs,ɾs
s,sk,sk
l,lɡ,lɡ
n,nɡ,nɡ
s,sk,s
s,s,sk
sk,sk,s
sk,sk,sk
ɾs,ɾs,ɾs
s,sk,s
x,x,ç
nɡ,nɡ,n
ɾx,ɾx,ɾx
sk,sk,s
s,sk,sk
s,s,ɡ
nɡ,nɡ,nɡ
nɡ,nɡ,nɡ
n,n,nɡ
n,n,nɡ
ɾs,ɾs,ɾs
sk,sk,sk
sk,sk,s
x,x,ç
nɡ,n,nɡ
sk,sk,sk
s,sk,sk
s,sk,sk
ɾx,ɾx,ɾx
s,sk,s
s,sk,sk
s,ɡ,s
sk,sk,sk
s,sk,sk
sk,sk,s
nç,nx,nx
sk,sk,sk
n,n,n
sk,sk,sk
s,s,sk
ɡ,ɡ,ɡ
n,nɡ,n
lɡ,lɡ,l
s,sk,s
s,sk,s
s,sk,sk
nɡ,n,n
nx,nx,nç
s,sk,s
nɡ,nɡ,nɡ
s,sk,sk
s,ɡ,ɡ
s,sk,s
ɾx,ɾx,ɾç
nç,nx,nx
n,nɡ,n
