idx,src1,src2,src1_sf,src2_sf
0,pɾobenɡˈamos,pɾobˈenɡo,nɡ,nɡ
1,faʃˈesen,faʃˈeses,s,s
2,pɾoduskˈamos,pɾodˈusko,sk,sk
3,ɾesplandˈeska,ɾesplandˈesko,sk,sk
4,pɾotˈeçe,pɾotexˈajs,ç,x
5,ɾesuɾxˈamos,ɾesˈuɾxas,ɾx,ɾx
6,enoɾɡuʃˈese,enoɾɡuʃˈeska,s,sk
7,konbensˈemos,konbˈenso,ns,ns
8,pɾesuponɡˈajs,pɾesupˈonɡas,nɡ,nɡ
9,indusˈis,indˈusko,s,sk
10,entɾetˈenɡas,entɾetjˈene,nɡ,n
11,dibˈeɾçe,dibˈeɾxas,ɾç,ɾx
12,foɾtalesˈejs,foɾtalˈeska,s,sk
13,entenebɾesˈejs,entenebɾeskˈajs,s,sk
14,eskaesˈejs,eskaeskˈajs,s,sk
15,pɾoduskˈajs,pɾoduskˈamos,sk,sk
16,tɾansponɡˈajs,tɾanspˈonɡa,nɡ,nɡ
17,ɾebˈenɡa,ɾebjˈenes,nɡ,n
18,sobɾebˈenɡa,sobɾebjˈenen,nɡ,n
19,sˈale,salɡˈajs,l,lɡ
20,peɾtenesˈejs,peɾteneskˈajs,s,sk
21,aduskˈajs,adˈuskan,sk,sk
22,akɾˈeses,akɾˈeska,s,sk
23,ɾesˈaɾsen,ɾesaɾsˈis,ɾs,ɾs
24,enneɡɾˈeses,enneɡɾeskˈamos,s,sk
25,kontɾaaɡˈajs,kontɾaˈaɡas,ɡ,ɡ
26,kontɾabˈenɡan,kontɾabˈenɡa,nɡ,nɡ
27,ɾedusˈis,ɾedˈuskas,s,sk
28,konbˈeɾçes,konbeɾxˈajs,ɾç,ɾx
29,lusˈis,luskˈajs,s,sk
30,enmoˈese,enmoˈeskas,s,sk
31,empekeɲˈeska,empekeɲˈesko,sk,sk
32,indˈusen,indˈuse,s,s
33,oskuɾˈesen,oskuɾˈeses,s,s
34,subbenɡˈajs,subbenˈimos,nɡ,n
35,deskonosˈejs,deskonˈosen,s,s
36,enɾaɾˈeskas,enɾaɾˈeska,sk,sk
37,enkˈoxa,enkˈoxa,x,x
38,ɾesˈuɾxan,ɾesˈuɾxas,ɾx,ɾx
39,depˈones,depˈonɡas,n,nɡ
40,kajɡˈajs,kajɡˈamos,jɡ,jɡ
41,despɾoteçˈejs,despɾotexˈamos,ç,x
42,neɡɾˈesen,neɡɾˈeskas,s,sk
43,sobɾeponˈejs,sobɾepˈonɡan,n,nɡ
44,pˈunçen,punxˈamos,nç,nx
45,pɾesuponˈemos,pɾesupˈonɡo,n,nɡ
46,anoʧˈeses,anoʧeskˈamos,s,sk
47,fosfoɾˈeskas,fosfoɾˈeska,sk,sk
48,ɾelˈusen,ɾelˈuskan,s,sk
49,ˈase,ˈaɡan,s,ɡ
50,kˈepan,kˈepo,p,p
51,obedˈeskan,obedˈeska,sk,sk
52,enneɡɾesˈemos,enneɡɾˈeska,s,sk
53,akoçˈejs,akˈoçen,ç,ç
54,ɾesuɾçˈis,ɾesˈuɾxa,ɾç,ɾx
55,ɾeabastˈeses,ɾeabastˈeska,s,sk
56,amaɾiʃesˈejs,amaɾiʃˈeskas,s,sk
57,supeɾbˈenɡa,supeɾbjˈenen,nɡ,n
58,ɾebeɾdˈeskan,ɾebeɾdˈeskas,sk,sk
59,ɾebeɾdesˈemos,ɾebeɾdˈesen,s,s
60,kontɾadˈises,kontɾadiɡˈajs,s,ɡ
61,infɾˈinçen,infɾinçˈimos,nç,nç
62,balbˈusen,balbusˈis,s,s
63,lˈuses,lˈuskas,s,sk
64,maldˈiɡas,maldˈiɡo,ɡ,ɡ
65,desmeɾeskˈamos,desmeɾˈeska,sk,sk
66,inflˈiçes,inflˈixo,ç,x
67,enoɾɡuʃˈeska,enoɾɡuʃˈesko,sk,sk
68,ɾedˈuses,ɾeduskˈamos,s,sk
69,supeɾpˈone,supeɾpˈonɡan,n,nɡ
