test_form,preds_form,preds_stems,test_stems,shapes
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾeska,ɾeapaɾesk,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾeska,ɾeapaɾesk,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾeskas,ɾeapaɾesk,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾeskas,ɾeapaɾesk,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾeska,ɾeapaɾesk,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesejs,ɾeapaɾesejs,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesemos,ɾeapaɾesemos,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesemos,ɾeapaɾesemos,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesemos,ɾeapaɾesemos,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesemos,ɾeapaɾesemos,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesemos,ɾeapaɾeska,ɾeapaɾesk,ɾeapaɾes,L
ɾeapaɾesemos,ɾeapaɾesemos,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesemos,ɾeapaɾesemos,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesemos,ɾeapaɾesemos,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesemos,ɾeapaɾesemos,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesemos,ɾeapaɾesemos,ɾeapaɾes,ɾeapaɾes,L
ɾeapaɾesemos,ɾeapaɾesemos,ɾeapaɾes,ɾeapaɾes,L
