model,lshaped_overall_errors,lshaped_overall_correct,total_lshaped_predictions,lshaped_error_rate,lshaped_accuracy
10L_90NL_1_1,922,3698,7,19.96,80.04
10L_90NL_1_2,3923,697,7,84.91,15.09
10L_90NL_1_3,3762,858,7,81.43,18.57
10L_90NL_1_4,239,4381,7,5.17,94.83
10L_90NL_2_1,1336,3284,7,28.92,71.08
10L_90NL_2_2,3798,822,7,82.21,17.79
10L_90NL_2_3,3856,764,7,83.46,16.54
10L_90NL_2_4,1039,3581,7,22.49,77.51
10L_90NL_3_1,1271,3349,7,27.51,72.49
10L_90NL_3_2,3812,808,7,82.51,17.49
10L_90NL_3_3,3981,639,7,86.17,13.83
10L_90NL_3_4,1563,3057,7,33.83,66.17
