model,overall_errors,overall_correct,suffix_errors_when_stems_are_correct,suffix_errors_when_stems_are_incorrect,total_predictions,error_rate,suffix_error_rate_when_stems_are_correct,suffix_error_rate_when_stems_are_incorrect,accuracy,accuracy_when_stems_are_correct,accuracy_when_stems_are_incorrect
10L_90NL_1_1,4956,38604,2721,2235,43560,11.38,6.25,5.13,88.62,82.38,83.49
10L_90NL_1_2,9894,33666,3663,6231,43560,22.71,8.41,14.3,77.29,68.88,62.98
10L_90NL_1_3,10218,33342,3552,6666,43560,23.46,8.15,15.3,76.54,68.39,61.24
10L_90NL_1_4,663,42897,183,480,43560,1.52,0.42,1.1,98.48,98.06,97.38
10L_90NL_2_1,6692,36868,3385,3307,43560,15.36,7.77,7.59,84.64,76.87,77.05
10L_90NL_2_2,14271,29289,6190,8081,43560,32.76,14.21,18.55,67.24,53.03,48.69
10L_90NL_2_3,13245,30315,5999,7246,43560,30.41,13.77,16.63,69.59,55.82,52.96
10L_90NL_2_4,5048,38512,2135,2913,43560,11.59,4.9,6.69,88.41,83.51,81.72
10L_90NL_3_1,4560,39000,1940,2620,43560,10.47,4.45,6.01,89.53,85.08,83.52
10L_90NL_3_2,10489,33071,4367,6122,43560,24.08,10.03,14.05,75.92,65.9,61.87
10L_90NL_3_3,12634,30926,6143,6491,43560,29.0,14.1,14.9,71.0,56.89,56.1
10L_90NL_3_4,4120,39440,1406,2714,43560,9.46,3.23,6.23,90.54,87.31,84.31
