model,num_ar_errors,num_ar_correct,total_ar_predictions,ar_present_in_verb_class,ar_not_present_in_verb_class,ar_error_rate,accuracy,accuracy_present_in_verb_class
50L_50NL_1_1,1144,19316,20460,989,155,5.59,94.41,86.45
50L_50NL_1_2,8205,12255,20460,7861,344,40.1,59.9,95.81
50L_50NL_1_3,8911,11549,20460,8596,315,43.55,56.45,96.47
50L_50NL_1_4,964,19496,20460,818,146,4.71,95.29,84.85
50L_50NL_2_1,1519,17621,19140,1320,199,7.94,92.06,86.9
50L_50NL_2_2,7749,11391,19140,7247,502,40.49,59.51,93.52
50L_50NL_2_3,7954,11186,19140,7314,640,41.56,58.44,91.95
50L_50NL_2_4,3414,15726,19140,3062,352,17.84,82.16,89.69
50L_50NL_3_1,2534,17926,20460,2340,194,12.39,87.61,92.34
50L_50NL_3_2,3683,16777,20460,3421,262,18.0,82.0,92.89
50L_50NL_3_3,8354,12106,20460,8032,322,40.83,59.17,96.15
50L_50NL_3_4,969,19491,20460,937,32,4.74,95.26,96.7
