model,num_ir_errors,num_ir_correct,total_ir_predictions,ir_present_in_verb_class,ir_not_present_in_verb_class,ir_error_rate,accuracy,accuracy_present_in_verb_class
50L_50NL_1_1,1361,4579,5940,988,373,22.91,77.09,72.59
50L_50NL_1_2,2807,3133,5940,2619,188,47.26,52.74,93.3
50L_50NL_1_3,2966,2974,5940,2867,99,49.93,50.07,96.66
50L_50NL_1_4,331,5609,5940,201,130,5.57,94.43,60.73
50L_50NL_2_1,603,7262,7865,428,175,7.67,92.33,70.98
50L_50NL_2_2,3651,4214,7865,3275,376,46.42,53.58,89.7
50L_50NL_2_3,3733,4132,7865,3420,313,47.46,52.54,91.62
50L_50NL_2_4,703,7162,7865,495,208,8.94,91.06,70.41
50L_50NL_3_1,1612,7628,9240,1262,350,17.45,82.55,78.29
50L_50NL_3_2,1322,7918,9240,816,506,14.31,85.69,61.72
50L_50NL_3_3,5509,3731,9240,4767,742,59.62,40.38,86.53
50L_50NL_3_4,221,9019,9240,84,137,2.39,97.61,38.01
