model,nlshaped_overall_errors,nlshaped_overall_correct,total_nlshaped_predictions,nlshaped_error_rate,nlshaped_accuracy
50L_50NL_1_1,2349,19431,33,10.79,89.21
50L_50NL_1_2,9033,12747,33,41.47,58.53
50L_50NL_1_3,9815,11965,33,45.06,54.94
50L_50NL_1_4,1200,20580,33,5.51,94.49
50L_50NL_2_1,2627,19153,33,12.06,87.94
50L_50NL_2_2,9652,12128,33,44.32,55.68
50L_50NL_2_3,9800,11980,33,45.0,55.0
50L_50NL_2_4,5273,16507,33,24.21,75.79
50L_50NL_3_1,3140,18640,33,14.42,85.58
50L_50NL_3_2,4390,17390,33,20.16,79.84
50L_50NL_3_3,9418,12362,33,43.24,56.76
50L_50NL_3_4,1064,20716,33,4.89,95.11
