idx,tgt,tgt_sf
0,enlokˈeskan,sk
1,adoleskˈamos,sk
2,faboɾˈeska,sk
3,ɾeeleçˈis,ç
4,tɾaduskˈamos,sk
5,estˈaɾsa,ɾs
6,akˈoxan,x
7,ɾekompˈone,n
8,enlˈuses,s
9,emulxˈamos,lx
10,suponɡˈajs,nɡ
11,ɾetɾadˈuse,s
12,adbˈenɡa,nɡ
13,antepˈonɡa,nɡ
14,pɾekonosˈejs,s
15,arˈeskas,sk
16,ɾekonˈoses,s
17,adolˈesen,s
18,arˈeska,sk
19,sostjˈenen,n
20,detɾˈajɡa,jɡ
21,antepˈone,n
22,balbˈuses,s
23,ɾekosˈemos,s
24,ʃˈaska,sk
25,embɾuteskˈamos,sk
26,pɾeestablˈeskan,sk
27,enkoxˈamos,x
28,ɾekonosˈemos,s
29,neɡɾesˈejs,s
30,supˈone,n
31,elixˈajs,x
32,ɾetɾadˈusko,sk
33,apaɾesˈejs,s
34,antepˈonɡan,nɡ
35,pɾedˈisen,s
36,enlokˈesen,s
37,enɾoxˈesko,sk
38,ʃˈasen,s
39,detɾˈajɡas,jɡ
40,absteɾxˈamos,ɾx
41,desabenˈimos,n
42,supeɾpˈone,n
43,despɾoteçˈemos,ç
44,estaɾsˈis,ɾs
45,enɾikˈeskas,sk
46,anoʧˈesen,s
47,enlokˈeska,sk
48,fɾanxˈamos,nx
49,inteɾpˈones,n
50,inbˈenɡo,nɡ
51,manutjˈenen,n
52,ɾefˈulxo,lx
53,aɡˈajs,ɡ
54,tɾadˈusko,sk
55,entoɾpeskˈajs,sk
56,absteɾxˈajs,ɾx
57,obskuɾˈeska,sk
58,enɾoxˈeska,sk
59,elixˈamos,x
60,ɾeeleçˈis,ç
61,ɾeelˈixa,x
62,enkoxˈamos,x
63,ɾekompˈonɡa,nɡ
64,peɾtenˈeska,sk
65,enlentˈeskas,sk
66,enɾoxˈeska,sk
67,estaɾsˈamos,ɾs
68,estˈaɾsa,ɾs
69,konbˈeɾxas,ɾx
70,faʃˈeskan,sk
71,entɾetenˈejs,n
72,desˈase,s
73,empobɾˈeska,sk
74,sˈalɡa,lɡ
75,sˈalɡa,lɡ
76,faboɾˈeska,sk
77,establˈesko,sk
78,sˈalɡan,lɡ
79,enkˈoxa,x
80,desasˈimos,s
81,deskˈose,s
82,balbˈuskan,sk
83,tɾadˈuska,sk
84,obedˈese,s
85,padˈesko,sk
86,empekeɲˈesen,s
87,supeɾponˈemos,n
88,ɾebeɾdˈese,s
89,ɾebeɾdeskˈajs,sk
90,desdˈiɡan,ɡ
91,abastesˈemos,s
92,enɾoxˈesko,sk
93,inteɾponɡˈamos,nɡ
94,apaɾˈeska,sk
95,empobɾˈesko,sk
96,enɾikˈesko,sk
97,enaɾdˈeses,s
98,unxˈajs,nx
99,obedesˈejs,s
100,foɾtalˈeska,sk
101,desaɡɾadeskˈamos,sk
102,faʃesˈemos,s
103,tɾaspˈones,n
104,tɾasponˈejs,n
105,enlˈuses,s
106,enaɾdeskˈamos,sk
107,faʃesˈejs,s
108,anoʧesˈemos,s
109,tɾˈajɡa,jɡ
110,enduɾˈeskas,sk
111,ensombɾeskˈamos,sk
112,neɡɾesˈejs,s
113,tɾaduskˈajs,sk
114,ekstɾˈaen,
115,enaɾdˈeskan,sk
116,enlokˈeskan,sk
117,enlokesˈemos,s
118,ɾefˈulxa,lx
119,enkˈoçes,ç
120,intɾodˈusko,sk
121,adolˈesen,s
122,ɾediɾixˈajs,x
123,koxˈajs,x
124,embɾutˈeskas,sk
125,eskaɾnˈesen,s
126,obedˈeses,s
127,ˈunçen,nç
128,desˈases,s
129,anoʧˈeskas,sk
